N,M,time,name
40703,1000,1442,dijkstra_two.cpp
51286,1000,1529.6,dijkstra_two.cpp
64621,1000,1684,dijkstra_two.cpp
81422,1000,1919.5,dijkstra_two.cpp
102592,1000,2005.5,dijkstra_two.cpp
100,1000,272.3,naive.cpp
126,1000,323.7,naive.cpp
158,1000,393.8,naive.cpp
200,1000,448.5,naive.cpp
252,1000,540.4,naive.cpp
317,1000,641.8,naive.cpp
400,1000,772.8,naive.cpp
504,1000,952.1,naive.cpp
635,1000,1155.2,naive.cpp
800,1000,1414,naive.cpp
1008,1000,1744.9,naive.cpp
1270,1000,2164.4,naive.cpp
1601,1000,2691.8,naive.cpp
2017,1000,3340.5,naive.cpp
2542,1000,4170.6,naive.cpp
3203,1000,5180.1,naive.cpp
4035,1000,6619.6,naive.cpp
5085,1000,8256.2,naive.cpp
6407,1000,10313.7,naive.cpp
8073,1000,12922.1,naive.cpp
10172,1000,TLE,naive.cpp
12816,1000,TLE,naive.cpp
16149,1000,TLE,naive.cpp
20348,1000,TLE,naive.cpp
25638,1000,TLE,naive.cpp
32304,1000,TLE,naive.cpp
40703,1000,TLE,naive.cpp
51286,1000,TLE,naive.cpp
64621,1000,TLE,naive.cpp
81422,1000,TLE,naive.cpp
102592,1000,TLE,naive.cpp
