n,m,time,name
32304,1000,15000,Naive
40703,1000,15000,Naive
40703,1000,15000,Naive
40703,1000,15000,Naive
40703,1000,15000,Naive
40703,1000,15000,Naive
40703,1000,15000,Naive
40703,1000,15000,Naive
40703,1000,15000,Naive
40703,1000,15000,Naive
40703,1000,15000,Naive
51286,1000,15000,Naive
51286,1000,15000,Naive
51286,1000,15000,Naive
51286,1000,15000,Naive
51286,1000,15000,Naive
51286,1000,15000,Naive
51286,1000,15000,Naive
51286,1000,15000,Naive
51286,1000,15000,Naive
51286,1000,15000,Naive
64621,1000,15000,Naive
64621,1000,15000,Naive
64621,1000,15000,Naive
64621,1000,15000,Naive
64621,1000,15000,Naive
64621,1000,15000,Naive
64621,1000,15000,Naive
64621,1000,15000,Naive
64621,1000,15000,Naive
64621,1000,15000,Naive
81422,1000,15000,Naive
81422,1000,15000,Naive
81422,1000,15000,Naive
81422,1000,15000,Naive
81422,1000,15000,Naive
81422,1000,15000,Naive
81422,1000,15000,Naive
81422,1000,15000,Naive
81422,1000,15000,Naive
81422,1000,15000,Naive
102592,1000,15000,Naive
102592,1000,15000,Naive
102592,1000,15000,Naive
102592,1000,15000,Naive
102592,1000,15000,Naive
102592,1000,15000,Naive
102592,1000,15000,Naive
102592,1000,15000,Naive
102592,1000,15000,Naive
102592,1000,15000,Naive
100,1000,545,Dijkstra
100,1000,670,Dijkstra
100,1000,577,Dijkstra
100,1000,561,Dijkstra
100,1000,717,Dijkstra
100,1000,685,Dijkstra
100,1000,576,Dijkstra
100,1000,639,Dijkstra
100,1000,810,Dijkstra
100,1000,638,Dijkstra
126,1000,561,Dijkstra
126,1000,561,Dijkstra
126,1000,545,Dijkstra
126,1000,654,Dijkstra
126,1000,670,Dijkstra
126,1000,717,Dijkstra
126,1000,701,Dijkstra
126,1000,655,Dijkstra
126,1000,748,Dijkstra
126,1000,701,Dijkstra
158,1000,857,Dijkstra
158,1000,655,Dijkstra
158,1000,638,Dijkstra
158,1000,654,Dijkstra
158,1000,764,Dijkstra
158,1000,623,Dijkstra
158,1000,654,Dijkstra
158,1000,577,Dijkstra
158,1000,654,Dijkstra
158,1000,592,Dijkstra
200,1000,686,Dijkstra
200,1000,795,Dijkstra
200,1000,701,Dijkstra
200,1000,795,Dijkstra
200,1000,686,Dijkstra
200,1000,779,Dijkstra
200,1000,701,Dijkstra
200,1000,795,Dijkstra
200,1000,670,Dijkstra
200,1000,624,Dijkstra
252,1000,685,Dijkstra
252,1000,872,Dijkstra
252,1000,686,Dijkstra
252,1000,654,Dijkstra
252,1000,717,Dijkstra
