n,m,time,name
800,80,124,Quad
800,80,140,Quad
800,80,124,Quad
800,80,124,Quad
800,80,124,Quad
800,160,139,Quad
800,160,124,Quad
800,160,124,Quad
800,160,140,Quad
800,160,124,Quad
800,160,124,Quad
800,160,139,Quad
800,160,155,Quad
800,160,124,Quad
800,160,109,Quad
800,320,186,Quad
800,320,155,Quad
800,320,186,Quad
800,320,202,Quad
800,320,187,Quad
800,320,171,Quad
800,320,186,Quad
800,320,202,Quad
800,320,218,Quad
800,320,187,Quad
800,640,358,Quad
800,640,374,Quad
800,640,373,Quad
800,640,421,Quad
800,640,373,Quad
800,640,374,Quad
800,640,374,Quad
800,640,358,Quad
800,640,389,Quad
800,640,342,Quad
800,1280,1076,Quad
800,1280,1123,Quad
800,1280,1107,Quad
800,1280,1122,Quad
800,1280,1075,Quad
800,1280,1029,Quad
800,1280,1185,Quad
800,1280,1045,Quad
800,1280,1091,Quad
800,1280,1013,Quad
1600,10,108,Quad
1600,10,155,Quad
1600,10,139,Quad
1600,10,108,Quad
1600,10,124,Quad
1600,10,124,Quad
1600,10,140,Quad
1600,10,108,Quad
1600,10,108,Quad
1600,10,124,Quad
1600,20,108,Quad
1600,20,109,Quad
1600,20,155,Quad
1600,20,124,Quad
1600,20,140,Quad
1600,20,124,Quad
1600,20,108,Quad
1600,20,124,Quad
1600,20,108,Quad
1600,20,108,Quad
1600,40,186,Quad
1600,40,124,Quad
1600,40,186,Quad
1600,40,171,Quad
1600,40,124,Quad
1600,40,140,Quad
1600,40,124,Quad
1600,40,124,Quad
1600,40,108,Quad
1600,40,139,Quad
1600,80,124,Quad
1600,80,124,Quad
1600,80,108,Quad
1600,80,124,Quad
1600,80,156,Quad
1600,80,124,Quad
1600,80,171,Quad
1600,80,139,Quad
1600,80,170,Quad
1600,80,124,Quad
1600,160,139,Quad
1600,160,139,Quad
1600,160,140,Quad
1600,160,155,Quad
1600,160,124,Quad
1600,160,140,Quad
1600,160,140,Quad
1600,160,140,Quad
1600,160,124,Quad
1600,160,155,Quad
1600,320,187,Quad
1600,320,202,Quad
1600,320,187,Quad
1600,320,187,Quad
1600,320,202,Quad
1600,320,218,Quad
1600,320,249,Quad
1600,320,202,Quad
1600,320,186,Quad
1600,320,202,Quad
1600,640,374,Quad
1600,640,405,Quad
1600,640,389,Quad
1600,640,343,Quad
1600,640,373,Quad
1600,640,389,Quad
1600,640,374,Quad
1600,640,390,Quad
1600,640,421,Quad
1600,640,374,Quad
1600,1280,1138,Quad
1600,1280,1185,Quad
1600,1280,1200,Quad
1600,1280,1169,Quad
1600,1280,1060,Quad
1600,1280,1123,Quad
1600,1280,1138,Quad
1600,1280,1216,Quad
1600,1280,1122,Quad
1600,1280,1138,Quad
3200,10,139,Quad
3200,10,124,Quad
3200,10,124,Quad
3200,10,140,Quad
3200,10,139,Quad
3200,10,139,Quad
3200,10,140,Quad
3200,10,124,Quad
3200,10,124,Quad
3200,10,124,Quad
3200,20,171,Quad
3200,20,140,Quad
3200,20,140,Quad
3200,20,155,Quad
3200,20,124,Quad
3200,20,124,Quad
3200,20,156,Quad
3200,20,155,Quad
3200,20,140,Quad
3200,20,124,Quad
3200,40,155,Quad
3200,40,124,Quad
3200,40,155,Quad
3200,40,124,Quad
3200,40,156,Quad
3200,40,171,Quad
3200,40,171,Quad
3200,40,140,Quad
3200,40,155,Quad
3200,40,124,Quad
3200,80,139,Quad
3200,80,187,Quad
3200,80,124,Quad
3200,80,139,Quad
3200,80,124,Quad
3200,80,124,Quad
3200,80,139,Quad
3200,80,140,Quad
